Descripción*;Grupo terapéutico
BECOTIDE ;R03BA
BECOZYME C FORTE;A11JA
BEECHAM LEMON MIEL ;N02BE
BEGLAN ;R03AC
BEGLUNINA ;A11HA
BEKUNIS ;A06AB
BEKUNIS COMPLEX ;A06AB
BEKUNIS INSTANT;A06AB
BEL LABIAL ;D06BB
BELARA ;G03AA
BELARA DIARIO ;G03AA
BELMACINA;J01MA
BELMALAX ;A06AD
BELMALIP ;C10AA
BELMAZOL ;A02BC
BELOKEN ;C07AB
BELOKEN RETARD ;C07AB
BELPREL ;C09AA
BELUSTINE ;L01AD
BEMASIVE ;G03AA
BEMOLAN;A02AD
BENADON ;A11HA
BENADREAM ;R06AA
BENADRYL ;R06AA
BENCILPENICILINA SODICA ;J01CE
BENDRALAN;J01CE
BENEFIX ;B02BD
BENEFLUR;L01BB
BENERVA;A11DA
BENESTAN ;G04CA
BENESTAN RETARD;G04CA
BENEXOL B1 B6 B12 ;A11DB
BENGLAU ;S01EE
BENIOD ;C09AA
BENLYSTA ;L04AA
BENORAL ;J01CE
BENORILE ;M01AB
BENOXYGEL ;D10AE
BENTIFEN ;S01GX
BENTYLOL ;A03AA
BENURIDE ;N03AB
BENYLIN ANTITUSIVO ;R05FA
BENYLIN DESCONGESTIVO ;R05DA
BENYLIN EXPECTORANTE;R05FA
BENZACNE;D10AE
BENZALC ;D08AX
BENZETACIL ;J01CE
BENZETACIL COMPUESTA ;J01CE
BEPANTHENE ;A11HA
BERIATE P ;B02BD
BERIGLOBINA ;J06BA
BERIGLOBINA ANTI D-P ;J06BB
BERINERT P ;B02AB
BERININ P ;B02BD
BERIPLAST P COMBI ;B02BC
BERIPLEX ;B02BD
BERODUAL ;R03AK
BEROMUN ;L03AX
BEROTEC ;R03CC
BEROTEC INHALETAS ;R03AC
BERTANEL ;L01BA
BESILATO ATRACURIO ;M03AC
BESITRAN ;N06AB
BESTER COMPLEX ;A11DB
BESTROLINA CUSI;R01AX
BETA ALCANFORADO ;M02AX
BETA MICOTER ;D01AC
BETA ROMERO ;M02AX
BETADINE  GEL ;D08AG
BETADINE ANTISEP ;D08AG
BETADINE BUCAL  ;R02AA
BETADINE CAPILAR ;D08AG
BETADINE CHAMPU ;D08AG
BETADINE GARGARISMOS ;A01AB
BETADINE GERVASI ;D08AG
BETADINE HIDROALCOHOLICO ;D08AG
BETADINE SCRUB ;D08AG
BETADINE SOLU DERMICA;D08AG
BETADINE SOLU JABONOSA ;D08AG
BETADINE VAGINAL ;G01AX
BETADIPRESAN ;C07FA
BETADIPRESAN DIU ;C07FA
BETAFERON ;L03AB
BETAGAN;S01ED
BETAHISTINA ;N07CA
BETAMATIL ;D07AC
BETAMATIL CON NEOMICINA;D07CC
BETAMAZ ;J01CG
BETAMETASONA ;H02AB
BETAMICAN ;R03AC
BETAMICAN ACCUHALER ;R03AC
BETARTRINOVO ;M01BA
BETASIT PLUS ;C07CB
BETATUL ;D09AA
BETAXOLOL ;S01ED
BETAYODO OVULOS ;G01AX
BETNOVATE ;D07AC
BETOPTIC ;S01ED
BETOXIN ;A13AA
BETSURIL ;R03BA
BETTAMOUSSE ;D07AC
BEXATUS ;R05DA
BEXICORTIL ;D07CB
BEXIDERMIL ;M02AC
BEXILONA ;D07AC
BEXISTAR ;M01AE
BI HIDROL ;V07AB
BIALFER ;B03AD
BIALFOLI ;B03BB
BIBERON GLUCOSADO ;V06DC
BIBERON SALINO ;A07CA
BICAFLAC C/ POTASIO ;B05ZB
BICALUTAMIDA ;L02BB
BICAMYLAN;L02BB
BICANOVA ;B05DB
BICARBEX ;L02BB
BICARBONATO DE SOSA ;A02AH
BICARBONATO SOD ;A02AH
BICARBONATO SOD INY;B05XA
BICASAN ;R05DA
BICAVERA GLUCOSA ;B05DB
BICETIL ;C09BA
BICLIN ;J01GB
BIDICLIN ;A07EA
BIDROLAR ;G04CX
BIETAPRES COMPLEX ;C02LA
BIFENABID ;C10AX
BIFOAL SEMANAL ;M05BA
BIFOKEY ;D01AC
BIFORT ;C01CA
BIGPEN ;J01CR
BILAXTEN ;R06AX
BILICANTA ;A05AX
BILIFALK ;A05AA
BILINA ;S01GX
BILINA NASAL ;R01AC
BILIOPACO ;V08AC
BILIPLUS ;A05AB
BILISEGROL ;V08AC
BIMADE ;C09BB
BIMOXI;J01CA
BIMOXI MUCOLITICO ;J01CA
BINIWAS ;C10AB
BINIWAS RETARD ;C10AB
BINOCRIT ;B03XA
BIO ESPECTRUM RETARD ;R05CZ
BIO EXAZOL ;J01FA
BIO HISTOGEN ;A15AA
BIO HUBBER FUERTE ;A07AX
BIO STAR ;A13AA
BIOBICA ;L02BB
BIOCADMIO ;D11AC
BIOCATALASE ;D03BA
BIOCEF ;J01DD
BIOCLATE ;B02BD
BIOCORTISON ENEMA;A07EA
BIOCORYL ;C01BA
BIODRAMINA ;R06AA
BIODRAMINA CAFEINA;R06AA
BIOENZYME ;G03CA
BIOFONS ;A13AA
BIOLID ;A06AC
BIOMAX ;A15AA
BIOMINOL A D HIDROSOLUBLE ;A11CB
BIOMINOL A HIDROSOLUBLE ;A11CA
BIONOCALCIN ;H05BA
BIONTOP ;N02BA
BIOPASAL FIBRA ;A06AC
BIOPLAK ;B01AC
BIOSCEFAL ;J01DA
BIOSELENIUM ;D11AC
BIOSTATINE ;H01CB
BIOVELBIN ;L01CA
BIOXIDONA ;J01CA
BIPOMAX ;N03AX
BIPREDONIUM;C09BA
BIPRETERAX ;C09BA
BISEPTIDINE ;D08AX
BISMUTROPINA ;A02AG
BISOLGRIP ;R05X
"BISOLGRIP ""FORTE"" ";R05X
BISOLMED ;R05CB
BISOLTUS ;R05DA
BISOLVON ;R05CB
BISOLVON AMOXYCILINA ;R05CZ
BISOLVON AMPICILINA ;J01CA
BISOLVON ANTITUSIVO COMPOSITUM ;R05DA
BISOLVON CICLINA;J01AA
BISOLVON COMPOSITUM ;R05FA
BISOLVON MUCOLITICO ;R05CB
BISOPROLOL COR ;C07AB
BISOPROLOL/HIDROCLOROTIAZIDA ;C07BB
BITENSIL ;C09AA
BITENSIL DIU ;C09BA
BIURICOWAS ;M04AA
BLANDIN ;J01RA
BLASTOESTIMULINA ;D03AX
BLASTOESTIMULINA OFTALMICA ;S01XA
BLASTOESTIMULINA TOPICA ;D06AX
BLASTOESTIMULINA VAGINAL;G01AF
BLASTON ;A03FA
BLENOX ;J01CA
BLEOMICINA ;L01DC
BLEUKAWINE ;G04BD
BLOCADREN 10 MG 500 COMPRIMIDOS;C07AA
BLOCOTIN ;C07AA
BLODEX ;V07AB
BLOKIUM ;C07AB
BLOKIUM DIU ;C07CB
BLOPRESS;C09CA
BLOPRESS FORTE ;C09DA
BLOTENSOR ;C08CA
BLUNA ;G02CX
BOCOUTURE ;M03AX
BOGIL ;N07XX
BOI K ;A12BA
BOI K ASPARTICO ;A12BA
BOIFILINA ;R03DA
BOIPULMONALE ;J01RA
BOIPULMONALE SIMPLE ;R03DB
BOLCHIPEN ;J01CA
BOLDOLAXIN ;A06AB
BOLDOSAL ;A05AB
BOLIDOL ;N02BE
BOLIDOL CODEINA ;N02BE
BOLTIN ;G03DC
BOLUTOL;C10AB
BONALFA ;D05AX
BONDENZA ;M05BA
BONDRONAT ;M05BA
BONEFOS;M05BA
BONESIL D FLAS ;A12AX
BONVIVA ;M05BA
BOOSTRIX ;J07AJ
BORADREN ;S01GA
BORALINE ;S01GA
BORBALAN ;J01CA
BOREA ;L02AB
BOSPORON ;M01AC
BOSPORON RAPID ;M01AC
BOTINIT ;D08AF
BOTOX ;M03AX
BOTROPASE ;B02BX
BOXOL ;B01AB
BOYDENEX ;V04CE
BRAFOLIN ;A05BA
BRAINAL ;C08CA
BRAMITOB ;J01GB
BRANEX ;C04AX
BRATENOL ;C10AB
BRAUNODERM COLOREADO ;D08AG
BRAUNOL ;D08AG
BRAVELLE ;G03GA
BREMON ;J01FA
BREMON UNIDIA ;J01FA
BRENTAN ;D01AC
BRETARIS ;R03BB
BREVIBLOC ;C07AB
BREXINIL ;M01AC
BRIDATEC;V09DA
BRIDION ;V03AB
BRIDOTRIM ;J01EE
BRILIQUE ;B01AC
BRIMONIDINA COLIRTEVA ;S01EA
BRINAVESS ;C01BG
BRINERDINA ;C02LA
BRINIX ;J05AB
BRISAIR ;R03AK
BRISAIR ACCUHALER ;R03AK
BRISFIRINA BALSAMICA ;J01DB
BRISORAL ;J01DC
BRISTACICLINA ;J01AA
BRISTACICLINA DENTAL ;J01AA
BRISTACOL ;C10AA
BRITAMOX ;J01CA
BRITAPEN ;J01CA
BRIXILON ;J01CA
BRODIWAS;R03CC
BROLIMINE ANTIBIOTICO ;J01CA
BROLIN ;A02BA
BROLUIDAN ;R05CB
BROMAZEPAM ;N05BA
BROMURO DE IPRATROPIO ;R03BB
BROMURO DE ROCURONIO;M03AC
BROMURO DE VECURONIO ;M03AC
BRONCIMUCIL ;R05CB
BRONCIVENT ;R03BA
BRONCO ASEPTILEX FUERTE ;R05CZ
BRONCO ASEPTILEX TETRA ;J01AA
BRONCO BACTIFOR ;R05CZ
BRONCO MEDICAL ;R05FA
BRONCO PENSUSAN ;R05CZ
BRONCO QUINTOXIL ;J01CA
BRONCO TONIC ;R05CZ
BRONCOBIOXIN ;J01CA
BRONCOFENIL FORTE ;J01AA
BRONCOFORMO MUCO DEXA ;R05FA
BRONCOLITIC ;J01FA
BRONCOMEGA ;R05CZ
BRONCOMICIN BALS ;R05CZ
BRONCONOVAG;R05CZ
BRONCORAL ;R03AC
BRONCOSOLVENTE EP ;J01CA
BRONCOSPASMIN ;R03AC
BRONCOTRATE ;R03CC
BRONCOTYFEN ;J01CA
BRONCOVIR FORTE;R05CZ
BRONCOVITAL ;R05DA
BRONDILAT ;R03DB
BRONDIX ;J01CA
BRONGENIT;J01EE
BRONQUIASMOL ;R03DB
BRONQUIBYS ;J01RA
BRONQUICISTEINA ;R05CZ
BRONQUIDIAZINA A ;J01RA
BRONQUIMAR ;R05CZ
BRONQUIMAR VITAMINA A ;R05FB
BRONQUIMUCIL ;R05CZ
BRONQUINFLAMATORIA ;R05CZ
BRONQUINFLAMATORIA INY ;J01AA
BRONQUIUM ;R05CZ
BRONQUIUM AMOXICILINA ;R05CZ
BRONSAL ;R03DA
BRONSEMA ;J01FA
BRONSEMA EXPECTORANTE ;R05CZ
BROTA RECTAL BALSAMICO;R05CA
BROTAMICINA ;J01RA
BROTAZONA;M01AX
BROXAMOX ;J01CA
BRUFEN;M01AE
BUCO REGIS ;A01AB
BUCOCILINA ;J01AA
BUCODRIN ;R02AA
BUCOMETASANA;R02AA
BUCOSPRAY ;R02AA
BUDENA ;R01AD
BUDESONIDA AEROSOL ;R03BA
BUDESONIDA NASAL ;R01AD
BUDIROL ;N02BB
BUPIVACAINA ;N01BB
BUPRENORFINA ;N07BC
BUPREX ;N02AE
BURMICIN ;J01CR
BUSCALIDE ;A02X
BUSCAPINA ;A03BB
BUSCAPINA COMPOSITUM;A03DB
BUSCOPAX ;A03CA
BUSETAL ;J01EE
BUSIDRIL ;R06AX
BUSILVEX ;L01AB
BUSPAR ;N05BE
BUSPISAL;N05BE
BUSULFAN ;L01AB
BUSULFANO ;L01AB
BUTADIONA ;M01AA
BUTAZOLIDINA ;M01AA
BUTIDIL ;M01AB
BUTILOPAN ;M01AB
BUTINAT;C03CA
BUTO AIR ;R03AC
BUTO ASMA ;R03AC
BUTO ASMA TEOFILINA ;R03DB
BUTOSOL;R03AK
BYDUREON ;A10BX
BYETTA ;A10BX
C K RUTINA ROGER ;B02BA
CABERGOLINA DEPRONAL;G02CB
CADUET ;C10BX
CAELYX ;L01DB
CAFERGOT;N02CA
CAFETO VIN ;N02BB
CAFIASPIRINA ;N02BA
CAFINITRINA ;C01DA
CAL D VITA ;A12AX
CALADRYL ;D04AA
CALBION SEMANAL ;M05BA
CALCIAL D ;A12AX
CALCIDREI ;A12AA
CALCIJEX ;A11CC
CALCINATAL ;A11AA
CALCIO ;A12AA
CALCIO 20 COMPLEX ;A11AA
CALCIO 20 EMULSION ;A12AA
CALCIO 20 FUERTE ;A12AX
CALCIO D ISDIN ;A12AX
CALCIO GEVE D Y C ;A12AX
CALCIO/VITAMINA D3 ;A12AX
CALCIORETARD;A12AX
CALCIPARINA CHOAY;B01AB
CALCIPEN ;J01CE
CALCIPOT FLUOR ;A01AA
CALCITONINA ;H05BA
CALCITRIOL ;A11CC
CALCIUM SANDOZ ;A12AA
CALCIUM SANDOZ C ;A12AA
CALCIUM SANDOZ D ;A12AX
CALCIUM SANDOZ FORTE ;A12AA
CALCIUM SANDOZ FORTE D ;A12AX
CALLICIDA SALVE ;D11AF
CALLICIN ;D11AF
CALLIVORO MARTHAND;D11AF
CALLIX;D11AF
CALLOFIN ;D11AF
CALLOVERK ;D11AF
CALMAGRIP ;R05X
CALMAGRIP FORTE ;R05X
CALMANTE DENTAL BROTA ;N02BE
CALMANTE VITAMINADO EFERV PEREZ GIMENEZ ;N02BA
CALMANTICOLD ;N02BE
CALMANTINA ;N02BA
CALMAPICA ;D04AX
CALMAPRIDE ;N05AX
CALMATEL ;M02AA
CALMAVEN ;N05BA
CALMIDAN;A02BX
CALMIN ;M02AX
CALMIN OLEUM ;M02AX
CALMIOX ;D07AA
CALMO YER CAFEINA ;N02BA
CALMOPLEX ;N02BB
CALNIT ;C08CA
CALODIS ;A12AX
CALOGEN ;H05BA
CALOGEN NASAL ;H05BA
CALSYNAR ;H05BA
CALSYNAR NASAL ;H05BA
CALTON ;N06AB
CALTOSON BALSAMICO ;R05FA
CALYPTOL INHALANTE ;R01AX
CAMIL ;J01DA
CAMPRAL ;N07BB
CAMPTO ;L01XX
CANADIOL;J02AC
CANCIDAS ;J02AX
CANDESARTAN ;C09CA
CANDESARTAN/HIDROCLOROTIAZIDA ;C09DA
CANDIFIX ;J02AC
CANESDERM PIE;D01AC
CANESPIE ;D01AC
CANESTEN ;D01AC
CANFO NAVARRO ;A12AA
CAOSINA ;A12AA
CAOSINA D ;A12AX
CAPASTAT;J01XX
CAPD ;B05DB
CAPD/DPCA ;B05DB
CAPENON ;C09DB
CAPENON HCT ;C09DX
CAPILAREMA ;C05CX
CAPOTA;D08AX
CAPOTEN ;C09AA
CAPOTEN COR ;C09AA
CAPROAMIN FIDES;B02AA
CAPROFIDES HEMOSTATICO ;B02BA
CAPSICIN CREMA ;N01BX
CAPSICUM ;M02AB
CAPSIDOL ;M02AB
CAPTOPRIL ;C09AA
CAPTOPRIL+HIDROCLOROTIAZIDA ;C09BA
CAPTOSINA ;C09AA
CARAMELOS AGUA DEL CARMEN ;R05CA
CARAMELOS VITAMINA C ;A11GA
CARASEL ;C09AA
CARBAGLU ;A16AA
CARBAMAZEPINA ;N03AF
CARBICALCIN ;H05BA
CARBIDOPA LEVODOPA ;N04BA
CARBOCAINA ;N01BA
CARBOCAL ;A12AA
CARBOCAL D ;A12AX
CARBOCISTEINA ;R05CB
CARBOLIQ ;A07BA
CARBON ULTRA ADSOR ;A07BA
CARBONATO CALCICO/COLECALCIFEROL ;A12AX
CARBOPLATINO ;L01XA
CARDEM;C07AB
CARDI-BRAUN REPERFUSION ;B05XA
CARDIODISCO ;C01DA
CARDIOLITE ;V09GA
CARDIONIL ;C01DA
CARDIOQUINE;C01BA
CARDIOVAS RETARD ;C01DA
CARDIOXANE ;V03AF
CARDISER RETARD ;C08DB
CARDOMEL ;C01CE
CARDURAN;C02CA
CARDURAN NEO ;C02CA
CARDYL;C10AA
CARENA ;D02AB
CARIBAN ;R06AA
CARICEF;J01DA
CARLOREN ;A11JC
CARMINATIVO IBYS ;A02AF
CARMINATIVO JUVENTUS ;A16AX
CARNICOR ;A16AA
CARNITICAL ;A13AA
CARNITINA ;A13AA
CARPINPLAST ;S01EB
CARRELDON RETARD ;C08DB
CARTISORB ;M01AX
CARTUCHO STOMA ;N01BB
CARUDOL ;M01AA
CARVEDILOL ;C07AG
CARVYX ;A04AA
CASBOL ;N06AB
CASENFILUS ;A07FA
CASENGLICOL ;A06AD
CASENLAX ;A06AD
CASODEX ;L02BB
CASPISELENIO;D11AC
CASPRIUM RETARD;N02BA
CATAPRESAN ;C02AC
CATERGEN;A05BA
CATEX;J01MA
CAVERJECT ;G04BE
CAVUM ;R01AX
CAYSTON ;J01DF
CCNU ;L01AD
CEA SCAN ;V09IA
CEBION ;A11GA
CEBION FORTE ;A11GA
CECLOR ;J01DC
CECLOR RETARD ;J01DC
CECRISINA ;A11GA
CEDAX ;J01DD
CEDROL ;N05CF
CEFA RESAN ;J01DA
CEFABIOT ;J01DB
CEFABOL ;N06BX
CEFACENE ;J01DB
CEFACLOR ;J01DC
CEFACRON ;J01DD
CEFADINA ;J01DA
CEFADREX ;J01DB
CEFADROXILO ;J01DB
CEFAKES ;J01DA
CEFALEXGOBENS ;J01DB
CEFALEXINA ANTIBIOTICOS ;J01DA
CEFALIVAL ;J01DA
CEFALOREX ;J01DA
CEFALOTINA SODICA ;J01DB
CEFAMANDOLE ;J01DA
CEFAMEZIN ;J01DB
CEFAMISO;J01DA
CEFAMUSEL ;J01DB
CEFAXICINA ;J01DC
CEFAZOLINA ;J01DB
CEFEPIMA ;J01DE
CEFIBACTER ;J01DB
CEFIXIMA ;J01DD
CEFIZOX ;J01DD
CEFOBID ;J01DD
CEFONICID ;J01DC
CEFONICIDA ;J01DA
CEFOTAXIMA;J01DD
CEFOXITINA;J01DC
CEFPODOXIMA ;J01DD
CEFRAL;J01DA
CEFROXIL ;J01DA
CEFTAZIDIMA ;J01DD
CEFTRIAXONA ;J01DD
CEFUROXIMA ;J01DC
CELEBREX ;M01AH
CELESEMINE;H02BX
CELESTODERM GENTAMICINA ;D07CC
CELESTODERM V ;D07AC
CELESTONE ;H02AB
CELESTONE CRONODOSE ;H02AB
CELESTONE ORAL REPETABS ;H02AB
CELESTONE S COLOIDE COLIRIO ;S01CA
CELLCEPT ;L04AA
CELLUFRESH ;S01XA
CELLUVISC ;S01XA
CELSENTRI ;J05AX
CELSIOR ;V07AB
CELUPAN;N07BB
CEMALYT ;D07XB
CEMETOL ;J01DC
CEMIDON ;J04AC
CENAT GRANULADO ;A06AC
CENEO ;D07AB
CENGAMA ANTIALERGICA;J06BA
CENTILUX ;S01GA
CENTREN ;N06AB
CEOXX ;M01AH
CEPACILINA ;J01CE
CEPARIDIN ;N02AX
CEPIFRAN ;J01DD
CEPORACIN ;J01DA
CEPOREX ;J01DA
CEPRANDAL ;A02BC
CEPRIMAX ;J01MA
CEPROTIN ;B01AD
CERAZET ;G03AC
CEREBRINO MANDRI ;N02BA
CEREDASE ;A16AB
CEREDILAN ;C04AX
CERENEU ;N03AB
CERETEC ;V09AA
CEREZYME ;A16AB
CERNEVIT ;A11BA
CERTICAN ;L04AA
CERUMENOL GOTAS ;S02DC
CERVARIX ;J07BM
CERVOXAN ;C04AX
CESPLON ;C09AA
CESPLON COR ;C09AA
CESPLON PLUS;C09BA
CETANOVO;M01AB
CETAVLON ;D08AJ
CETIMERCK ;R06AE
CETIMIL;R03BC
CETIRIZINA ;R06AE
CETOVINCA ;C04AX
CETRAXAL ;J01MA
CETRAXAL OTICO ;S02AA
CETRAXAL PLUS ;S02CA
CETROTIDE;H01CC
CEUNO MAST ;A11GA
CHAMPIX ;N07BA
CHANTALINE ;R03DA
CHELOBIL ;A05AA
CHEMICETINA ;J01BA
CHEMICICLINA ;J01AA
CHEMIOFURIN;J01XE
CHENOLIT ;A05AA
CHIBRO UVELINA;S01XA
CHIBROXIN ;S01AX
CHICLIDA ;R06AE
CHILDREVIT SOLUCION 150 ML;A15AA
CHIROCANE;N01BB
CHIROFLU ;J07BB
CHIROMAS ;J07BB
CHLOROMYCETIN ;J01BA
CHLOROMYCETIN PALMITATO ;J01BA
CHLOROMYCETIN SUCCINATO ;J01BA
CHOLEDYL ;R03DA
CHOLESTAGEL ;C10AC
CHOLIPIN ;A05AB
CHYMAR ORAL ;A09AA
CHYMAR ORAL FORTE ;A09AA
"CHYMOCYCLAR ""FORT"" ";J01AA
"CHYMOCYCLAR ""NORM"" ";J01AA
CHYMODIACTIN ;M09AB
CIALIS ;G04BE
CIARBIOT ;J01CA
CIBACALCINA ;H05BA
CIBACEN ;C09AA
CIBADREX ;C09BA
CIBALGINA ;N02BB
CIBALGINA COMPUESTA ;N02BE
CICATRAL POMADA ;D03AX
CICER ;G01AF
CICLOCHEM ;D01AE
CICLOCHEM UÑAS ;D01AE
CICLOCHEM VAGINAL ;G01AX
CICLOFALINA ;N06BX
CICLONUTRAX ;D01AE
CICLOPEGIC LLORENS ;S01FA
CICLOPIROX OLAMINA ;D01AE
CICLOSPORINA ;L04AD
CICLOXAL ;L01AA
CIDAN CILINA ;J01CE
CIDAN EST ;J01GA
CIDANCAINA SIMPLE ;N01BB
CIDINE ;A03FA
CIFLOT ;S02AA
CILAZAPRIL ;C09AA
CILICEF ;J01DA
CILINAFOSAL DIHIDROESTREPTOMICINA ;R01AB
CILINAFOSAL GOTAS NASALES ;R01AB
CILINAFOSAL HIDROCORTISONA GOTAS NASALES;R01AD
CILINAFOSAL NEOMICINA GOTAS NASALES;R01AB
CILINAVAGIN NEOMICINA OVULOS;G01AE
CILINVITA BRONQUIAL ;J01CA
CILIPEN ;J01CE
CILLIMICINA ;J01FF
CIMASCAL ;A12AA
CIMASCAL D FORTE ;A12AX
CIMASCAL D FORTE FLAS ;A12AX
CIMETIDINA ;A02BA
CIMZIA ;L04AB
CINARIZINA ;N07CA
CINCOFARM ;N06AX
CINCOPAL ;M01AE
CINFACROMIN ;D08AK
CINFAGRIP ;R05X
CINFAMAR ;R06AA
CINFAMAR CAFEINA ;R06AA
CINFAMUCOL ;R05CB
CINFAOTIN GOTAS OTICAS;S02CA
CINFATOS ;R05DA
CINFATOS COMPLEX;R05FA
CINFATOS DESCONGESTIVO;R05DA
CINFATOS EXPECTORANTE;R05FA
CINFAVIT COMPLEX ;A13AA
CINITAPRIDA ;A03FA
CINRYZE ;B02AB
CINULCUS ;A02BA
CIPOBACTER ;J01MA
CIPRALEX ;N06AB
CIPRENIT OTICO ;S02AA
CIPROACTIN ;J01MA
CIPROCTAL ;J01MA
CIPROFLOXACINO ;J01MA
CIPROK ;J01MA
CIPROXINA SIMPLE GOTAS OTICAS ;S02AA
CIRCOVENIL FUERTE ;C04AX
CIRCOVENIL GEL GEL 50 G;C05CX
CIRCULARINA ;C04AX
CIRKUHEP ;A05AX
CIRKUPAZ ;N06BX
CIRKUSED ;N05CM
CISAL ;B01AC
CISAPRIDA ;A03FA
CISATRACURIO ;M03AC
CISBEDAL ;R05CB
CISORDINOL ;N05AF
CISPLATINO RCA;L01XA
CISTINA ;D11AX
CITALMYLAN;N06AB
CITALOPRAM ;N06AB
CITALVIR ;N06AB
CITANEST;N01BB
CITANEST OCTAPRESSIN ;N01BB
CITARABINA ;L01BC
CITIGES ;J02AC
CITINOIDES;A02AH
CITORSAL ;A07CA
CITRAFLEET ;A06AB
CITRATO DE GALIO ;V09HX
CITREL;A02BC
CITROCIL ;A07AA
CITROLIDER;A11GA
CITROVIT ;A11GA
CIVERAN ;R06AX
CIVERAN FLAS;R06AX
CLAFORAN ;J01DD
CLAMARVIT ;B03AE
CLAMOXYL ;J01CA
CLAMOXYL MUCOLITICO ;R05CZ
CLANZOFLAT ;A03FA
CLANZOL ;A03FA
CLARAL ;D07AC
CLARAL FTE ;D07AC
CLARAL PLUS ;D07BC
CLARELUX ;D07AD
CLARINASE REPETABS ;R01BA
CLARITROMICINA ;J01FA
CLARITYNE ;R06AX
CLARITYNE FLAS ;R06AX
CLARITYNE PLUS ;R01BA
CLARMYL;N05BA
CLAROGRAF;V08AB
CLARVISAN;S01XA
CLAVEPEN ;J01CR
CLAVERSAL;A07EC
CLAVUCID;J01CR
CLAVUMOX;J01CR
CLEBORIL;A03FA
CLEXANE ;B01AB
CLEXANE FORTE ;B01AB
CLIMADONNA ;G02CX
CLIMEN ;G03HB
CLIMODIEN ;G03FA
CLINADIL ;C04AE
CLINADIL COMPOSITUM ;C04AE
CLINDAMICINA;J01FF
CLINIMIX ;B05BA
CLINOLEIC ;B05BA
CLINOMEL ;B05BA
CLINWAS ;J01FF
CLINWAS TOPICO ;D10AF
CLIOGAN ;G03CA
CLIPPER ;A07EA
CLIPTO ;C09AA
CLIPTOBIOTICO ;J01CA
CLISIN ;G03HB
CLISMA BIEFFE MEDITAL ;A06AD
CLISTERAN ;A06AG
CLOBENDIAN RETARD ;C08DB
CLOBEX ;D07AD
CLOMIFENO ;G03GB
CLOPAX ;N05BA
CLOPERASTINA ;R05DB
CLOPIDOGREL ;B01AC
CLOPIXOL ;N05AF
CLORAM HEMIDEXA ;S01CA
CLORAM ZINC ;S01AA
CLORAMPLAST ;J01BA
CLORANFENICOL  COLIRIO ;S01AA
CLORASEPTIC ;R02AA
CLORATO POTASICO ;A01AB
CLORAZEPATO ;N05BA
CLORDIABET ;A10BB
CLORETILO CHEMIROSA ;N01BX
CLORHEXIDINA ;A01AB
CLORHIDRATO DOPAMINA ;C01CA
CLORINA HEYDEN ;D08AX
CLOROBORAL;A01AD
CLOROFENICINA ;J01BA
CLOROFILA ;A01AD
CLOROQUINA ;P01BA
CLORPROMAZINA ;N05AA
CLORURO AMONICO ;B05XA
CLORURO CALCICO ;B05XA
CLORURO DE INDIO ;V09IB
CLORURO DE LITIO;V04CX
CLORURO DE TALIO ;V09GX
CLORURO MORFICO ;N02AA
CLORURO POTASICO ;B05XA
CLORURO SODICO ;B05BB
CLORXIL ;D08AC
CLOTRASONE ;D01AC
CLOTRIMAZOL  SOLUCION ;D01AC
CLOTRIMAZOL VAGINAL;G01AF
CLOVATE ;D07AD
CLOXACILINA ;J01CF
CLOZABRAIN ;N05AH
CO AMOXIN;J01CA
CO ANGIOSAN ;C09DA
CO ANGIOSAN FORTE ;C09DA
CO BUCAL ;A01AD
CO DIOVAN ;C09DA
CO DIOVAN FORTE;C09DA
CO FLUOCIN FUERTE;D07AC
CO HEPA B12 ;A11EA
CO NOVASAN FORTE ;C09DA
CO RENITEC ;C09BA
CO VALS ;C09DA
CO VALS FORTE ;C09DA
CO VITAM B 12 ;B03BA
COAPROVEL ;C09DA
COBAMAS ;A15AA
COBIONA;R06AE
COCARDOCE A M P;A13AA
COCRESOL ;M01AX
COD EFFERALGAN ;N02BE
CODEFILONA ;R03DB
CODEISAN ;R05DA
CODEROL;M01AX
CODIPRONT ;R05DA
CODURETAS ;R05DA
COENRELAX ;N05CM
COENZIMA UTP ;A13AA
COFIGRIP ;R05X
COFLUMOL ;N02BE
COGNEX ;N06DA
COHORTAN RECTAL ;C05AA
COLAMBIL ;A05AX
COLATAN;N02CC
COLCHICINA SEID ;M04AC
COLCHICINE HOUDE;M04AC
COLCHIMAX ;M04AC
COLEBRINA ;V08AC
COLEGRAF ;V08AC
COLEMIN ;C10AA
COLEMIN FORTE ;C10AA
COLENITRAL ;C01DA
COLESTID ;C10AC
COLESVIR ;C10AA
COLIMICINA ;J01XB
COLIRCUSI ANESTESICO;S01HA
COLIRCUSI ANTIEDEMA;S01XA
COLIRCUSI ASTRINGENTE ;S01GA
COLIRCUSI ATROPINA;S01FA
COLIRCUSI AUREOMICINA ;S01AA
COLIRCUSI BENOXINATO ;S01HA
COLIRCUSI BETAMIDA;S01CA
COLIRCUSI CICLOPLEJICO ;S01FA
COLIRCUSI CLORANF SUCCI ;S01AA
COLIRCUSI CLORANFENICOL ;S01AA
COLIRCUSI DE ICOL ;S01CA
COLIRCUSI DEXAM CONSTRIC ;S01CB
COLIRCUSI DEXAMETASONA ;S01BA
COLIRCUSI EPINEFRINA ;C01CA
COLIRCUSI ESCOPOLAMINA ;S01FA
COLIRCUSI FENILEFRINA ;S01FB
